BubbleName	BubbleType	UserType	Members	Admins	Invitees
Student Activity & Academic Center Student Staff 	resource 	NetID	calfon2	mfifiel	
Student Activity & Academic Center Student Staff 	resource 	NetID	tdcarr	fgaertn	
Student Activity & Academic Center Student Staff 	resource 	NetID	lqcherr	thines	
Student Activity & Academic Center Student Staff 	resource 	NetID	ecornw2	jlehigh	
Student Activity & Academic Center Student Staff 	resource 	NetID	odelano	mnovi	
Student Activity & Academic Center Student Staff 	resource 	NetID	jdunn6	emorybubble	
Student Activity & Academic Center Student Staff 	resource 	NetID	egutie2		
Student Activity & Academic Center Student Staff 	resource 	NetID	hbhoote		
Student Activity & Academic Center Student Staff 	resource 	NetID	zjah		
Student Activity & Academic Center Student Staff 	resource 	NetID	jjang27		
Student Activity & Academic Center Student Staff 	resource 	NetID	sjhol		
Student Activity & Academic Center Student Staff 	resource 	NetID	tjohn3		
Student Activity & Academic Center Student Staff 	resource 	NetID	kjone24		
Student Activity & Academic Center Student Staff 	resource 	NetID	dkim334		
Student Activity & Academic Center Student Staff 	resource 	NetID	hkoh4		
Student Activity & Academic Center Student Staff 	resource 	NetID	amlevi8		
Student Activity & Academic Center Student Staff 	resource 	NetID	slist		
Student Activity & Academic Center Student Staff 	resource 	NetID	mmercer		
Student Activity & Academic Center Student Staff 	resource 	NetID	mgmonte		
Student Activity & Academic Center Student Staff 	resource 	NetID	sjou		
Student Activity & Academic Center Student Staff 	resource 	NetID	jpryor3		
Student Activity & Academic Center Student Staff 	resource 	NetID	eprobin		
Student Activity & Academic Center Student Staff 	resource 	NetID	rrusiec		
Student Activity & Academic Center Student Staff 	resource 	NetID	jsabbas		
Student Activity & Academic Center Student Staff 	resource 	NetID	aschlit		
Student Activity & Academic Center Student Staff 	resource 	NetID	msulli9		
Student Activity & Academic Center Student Staff 	resource 	NetID	starte		
Student Activity & Academic Center Student Staff 	resource 	NetID	mgvazqu		
Student Activity & Academic Center Student Staff 	resource 	NetID	ewashi3		
Student Activity & Academic Center Student Staff 	resource 	NetID	nyip2		
